HOMICIDIOS EN COLOMBIA AÑO 2020 / DEPARTAMENTO DEL HECHO DANE,Amazonas,Amazonas.1,Amazonas.2,Amazonas.3,Amazonas.4,Amazonas.5,Amazonas.6,Amazonas.7,Amazonas.8,Amazonas.9,Antioquia,Antioquia.1,Antioquia.2,Antioquia.3,Antioquia.4,Antioquia.5,Antioquia.6,Antioquia.7,Antioquia.8,Antioquia.9,Arauca,Arauca.1,Arauca.2,Arauca.3,Arauca.4,Arauca.5,Arauca.6,Arauca.7,Arauca.8,Arauca.9,"Archipiélago de San Andrés, Providencia y Santa Catalina","Archipiélago de San Andrés, Providencia y Santa Catalina.1","Archipiélago de San Andrés, Providencia y Santa Catalina.2","Archipiélago de San Andrés, Providencia y Santa Catalina.3","Archipiélago de San Andrés, Providencia y Santa Catalina.4","Archipiélago de San Andrés, Providencia y Santa Catalina.5","Archipiélago de San Andrés, Providencia y Santa Catalina.6","Archipiélago de San Andrés, Providencia y Santa Catalina.7","Archipiélago de San Andrés, Providencia y Santa Catalina.8","Archipiélago de San Andrés, Providencia y Santa Catalina.9",Atlántico,Atlántico.1,Atlántico.2,Atlántico.3,Atlántico.4,Atlántico.5,Atlántico.6,Atlántico.7,Atlántico.8,Atlántico.9,"Bogotá, D.C.","Bogotá, D.C..1","Bogotá, D.C..2","Bogotá, D.C..3","Bogotá, D.C..4","Bogotá, D.C..5","Bogotá, D.C..6","Bogotá, D.C..7","Bogotá, D.C..8","Bogotá, D.C..9",Bolívar,Bolívar.1,Bolívar.2,Bolívar.3,Bolívar.4,Bolívar.5,Bolívar.6,Bolívar.7,Bolívar.8,Bolívar.9,Boyacá,Boyacá.1,Boyacá.2,Boyacá.3,Boyacá.4,Boyacá.5,Boyacá.6,Boyacá.7,Boyacá.8,Boyacá.9,Caldas,Caldas.1,Caldas.2,Caldas.3,Caldas.4,Caldas.5,Caldas.6,Caldas.7,Caldas.8,Caldas.9,Caquetá,Caquetá.1,Caquetá.2,Caquetá.3,Caquetá.4,Caquetá.5,Caquetá.6,Caquetá.7,Caquetá.8,Caquetá.9,Casanare,Casanare.1,Casanare.2,Casanare.3,Casanare.4,Casanare.5,Casanare.6,Casanare.7,Casanare.8,Casanare.9,Cauca,Cauca.1,Cauca.2,Cauca.3,Cauca.4,Cauca.5,Cauca.6,Cauca.7,Cauca.8,Cauca.9,Cesar,Cesar.1,Cesar.2,Cesar.3,Cesar.4,Cesar.5,Cesar.6,Cesar.7,Cesar.8,Cesar.9,Chocó,Chocó.1,Chocó.2,Chocó.3,Chocó.4,Chocó.5,Chocó.6,Chocó.7,Chocó.8,Chocó.9,Córdoba,Córdoba.1,Córdoba.2,Córdoba.3,Córdoba.4,Córdoba.5,Córdoba.6,Córdoba.7,Córdoba.8,Córdoba.9,Cundinamarca,Cundinamarca.1,Cundinamarca.2,Cundinamarca.3,Cundinamarca.4,Cundinamarca.5,Cundinamarca.6,Cundinamarca.7,Cundinamarca.8,Cundinamarca.9,Guainía,Guainía.1,Guainía.2,Guainía.3,Guainía.4,Guainía.5,Guainía.6,Guainía.7,Guainía.8,Guainía.9,Guaviare,Guaviare.1,Guaviare.2,Guaviare.3,Guaviare.4,Guaviare.5,Guaviare.6,Guaviare.7,Guaviare.8,Guaviare.9,Huila,Huila.1,Huila.2,Huila.3,Huila.4,Huila.5,Huila.6,Huila.7,Huila.8,Huila.9,La Guajira,La Guajira.1,La Guajira.2,La Guajira.3,La Guajira.4,La Guajira.5,La Guajira.6,La Guajira.7,La Guajira.8,La Guajira.9,Magdalena,Magdalena.1,Magdalena.2,Magdalena.3,Magdalena.4,Magdalena.5,Magdalena.6,Magdalena.7,Magdalena.8,Magdalena.9,Meta,Meta.1,Meta.2,Meta.3,Meta.4,Meta.5,Meta.6,Meta.7,Meta.8,Meta.9,Nariño,Nariño.1,Nariño.2,Nariño.3,Nariño.4,Nariño.5,Nariño.6,Nariño.7,Nariño.8,Nariño.9,Norte de Santander,Norte de Santander.1,Norte de Santander.2,Norte de Santander.3,Norte de Santander.4,Norte de Santander.5,Norte de Santander.6,Norte de Santander.7,Norte de Santander.8,Norte de Santander.9,Putumayo,Putumayo.1,Putumayo.2,Putumayo.3,Putumayo.4,Putumayo.5,Putumayo.6,Putumayo.7,Putumayo.8,Putumayo.9,Quindío,Quindío.1,Quindío.2,Quindío.3,Quindío.4,Quindío.5,Quindío.6,Quindío.7,Quindío.8,Quindío.9,Risaralda,Risaralda.1,Risaralda.2,Risaralda.3,Risaralda.4,Risaralda.5,Risaralda.6,Risaralda.7,Risaralda.8,Risaralda.9,Santander,Santander.1,Santander.2,Santander.3,Santander.4,Santander.5,Santander.6,Santander.7,Santander.8,Santander.9,Sucre,Sucre.1,Sucre.2,Sucre.3,Sucre.4,Sucre.5,Sucre.6,Sucre.7,Sucre.8,Sucre.9,Tolima,Tolima.1,Tolima.2,Tolima.3,Tolima.4,Tolima.5,Tolima.6,Tolima.7,Tolima.8,Tolima.9,Valle del Cauca,Valle del Cauca.1,Valle del Cauca.2,Valle del Cauca.3,Valle del Cauca.4,Valle del Cauca.5,Valle del Cauca.6,Valle del Cauca.7,Valle del Cauca.8,Valle del Cauca.9,Vaupés,Vaupés.1,Vaupés.2,Vaupés.3,Vaupés.4,Vaupés.5,Vaupés.6,Vaupés.7,Vaupés.8,Vaupés.9,Vichada,Vichada.1,Vichada.2,Vichada.3,Vichada.4,Vichada.5,Vichada.6,Vichada.7,Vichada.8,Vichada.9,CIFRA
"Calle (Autopista, Avenida, Dentro de La Ciudad)",-,-,-,-,-,-,-,-,-,-,6,91,97,1,6,7,-,-,-,104,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,4,54,58,-,2,2,-,-,-,60,-,4,4,-,-,-,-,-,-,4,1,18,19,-,1,1,-,-,-,20,-,3,3,-,-,-,-,-,-,3,-,2,2,-,-,-,-,-,-,2,-,10,10,-,-,-,-,-,-,10,1,30,31,-,1,1,-,-,-,32,2,7,9,-,-,-,-,-,-,9,1,28,29,-,-,-,-,-,-,29,-,5,5,-,1,1,-,-,-,6,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,5,5,-,-,-,-,-,-,5,2,27,29,-,2,2,-,-,-,31,-,2,2,-,1,1,-,-,-,3,-,1,1,-,-,-,-,-,-,1,1,12,13,-,-,-,-,-,-,13,-,1,1,-,1,1,-,-,-,2,-,22,22,-,1,1,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,10,-,25,25,-,3,3,-,-,-,28,-,13,13,-,-,-,-,-,-,13,4,92,96,-,6,6,-,-,-,102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,514
Carretera (Fuera de La Ciudad),-,-,-,-,-,-,-,-,-,-,-,50,50,-,1,1,-,-,-,51,-,14,14,-,1,1,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,3,-,3,3,-,-,-,-,-,-,3,-,8,8,-,-,-,-,-,-,8,-,2,2,-,-,-,-,-,-,2,-,10,10,-,-,-,-,-,-,10,-,6,6,-,-,-,-,-,-,6,-,14,14,-,-,-,-,-,-,14,-,1,1,-,-,-,-,-,-,1,2,30,32,1,1,2,-,-,-,34,-,3,3,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,6,-,-,-,-,-,-,6,-,2,2,-,-,-,-,-,-,2,-,4,4,-,-,-,-,-,-,4,-,3,3,-,-,-,-,-,-,3,-,1,1,-,-,-,-,-,-,1,-,5,5,-,-,-,-,-,-,5,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,8,1,6,7,-,-,-,-,-,-,7,-,4,4,-,-,-,-,-,-,4,-,11,11,-,1,1,-,-,-,12,-,29,29,1,1,2,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,235
"Centro de Atención Médica (Hospital, Clínica, Consultorio, Etc)",-,-,-,-,-,-,-,-,-,-,2,12,14,-,2,2,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,4,4,-,1,1,-,-,-,5,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,1,1,-,-,-,-,-,-,1,1,12,13,-,1,1,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,4,-,2,2,-,-,-,-,-,-,2,1,3,4,-,-,-,-,-,-,4,1,3,4,1,-,1,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,2,3,37,40,-,7,7,-,-,-,47,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,112
Centros de Reclusión,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,25,25,-,-,-,-,-,-,25,-,1,1,-,-,-,-,-,-,1,-,4,4,-,-,-,-,-,-,4,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43
Centros Educativos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
"Espacios Acuáticos al Aire Libre (Mar, Río, Arroyo, Humedal, Lago, Etc)",-,2,2,-,-,-,-,-,-,2,1,43,44,1,3,4,-,-,-,48,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,5,5,1,1,2,-,-,-,7,3,10,13,-,-,-,-,-,-,13,-,5,5,-,-,-,-,-,-,5,-,2,2,-,-,-,-,-,-,2,-,3,3,-,-,-,-,-,-,3,-,5,5,-,-,-,-,-,-,5,1,1,2,-,-,-,-,-,-,2,-,8,8,1,1,2,-,-,-,10,-,1,1,-,-,-,-,-,-,1,-,9,9,1,2,3,-,-,-,12,-,5,5,-,1,1,-,-,-,6,-,4,4,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,3,3,1,-,1,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,4,-,4,4,-,1,1,-,-,-,5,-,3,3,-,-,-,-,-,-,3,-,2,2,-,-,-,-,-,-,2,-,6,6,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,1,1,-,1,1,-,-,-,2,-,-,-,-,1,1,-,-,-,1,-,2,2,-,-,-,-,-,-,2,1,18,19,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,174
"Espacios Terrestres al Aire Libre (Bosque, Potrero, Montaña, Playa, Etc)",-,1,1,-,-,-,-,-,-,1,18,181,199,4,10,14,-,-,-,213,-,15,15,-,1,1,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,15,15,-,-,-,-,-,-,15,3,19,22,-,3,3,-,-,-,25,-,28,28,1,1,2,-,-,-,30,-,4,4,-,-,-,-,-,-,4,1,10,11,-,1,1,-,-,-,12,-,20,20,-,2,2,1,-,1,23,-,10,10,-,1,1,-,-,-,11,1,50,51,-,3,3,-,-,-,54,-,23,23,1,2,3,-,-,-,26,3,18,21,-,2,2,-,-,-,23,-,19,19,-,-,-,-,-,-,19,1,20,21,-,2,2,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,3,1,14,15,1,-,1,-,-,-,16,-,23,23,1,2,3,-,-,-,26,1,13,14,-,-,-,-,-,-,14,2,35,37,-,1,1,-,-,-,38,2,30,32,1,6,7,-,-,-,39,-,63,63,-,4,4,-,-,-,67,5,33,38,2,1,3,-,-,-,41,1,3,4,-,-,-,-,-,-,4,-,18,18,-,2,2,-,-,-,20,2,16,18,-,1,1,-,-,-,19,-,4,4,-,-,-,-,-,-,4,1,16,17,-,-,-,-,-,-,17,1,52,53,-,2,2,-,-,-,55,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,2,860
"Establecimiento Comercial (Tienda, Centro Comercial, Almacén, Plaza de Mercado)",-,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,8,8,-,1,1,-,-,-,9,-,11,11,-,-,-,-,-,-,11,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,4,4,1,-,1,-,-,-,5,-,2,2,-,-,-,-,-,-,2,-,1,1,-,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,2,-,1,1,-,1,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,3,3,-,1,1,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,1,3,4,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,3,3,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,1,12,13,-,3,3,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81
"Establecimiento Industrial (Fábrica, Planta) y/o Obras en Construcción",-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
"Establecimientos de Expendio de Comidas (Restaurantes, Asaderos, Salsamentarias, Etc)",-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,4,4,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,3,3,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26
"Establecimientos Financieros y Relacionados (Bancos, Fiduciarias, Etc) ",-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Estaciones de Servicio (Bombas de Gasolina),-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
Guarniciones Militares y/o de Policía,-,1,1,-,-,-,-,-,-,1,-,3,3,-,-,-,-,-,-,3,-,3,3,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19
Lugar Público sin Otra Indicación,-,-,-,-,-,-,-,-,-,-,1,14,15,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,4,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,3,-,1,1,-,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,2,-,3,3,-,-,-,-,-,-,3,1,2,3,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,8,8,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,3,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,3,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54
"Lugares de Actividades Culturales (Cines, Teatros, Museos, Bibliotecas, Etc)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"Lugares de Cuidado de Personas (Hospicios, Orfelinatos, Hogares Geriatricos, Etc)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
